"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Li, J.; Han, J.; Chen, S.; Li, B.; Wu, L.; Li, Q.","Li, Jianxun (55569504300); Han, Jinhua (59749258500); Chen, Shengfan (58479282300); Li, Bei (57432080900); Wu, Lijun (59187212000); Li, Qian (36062654700)","55569504300; 59749258500; 58479282300; 57432080900; 59187212000; 36062654700","Advancing olfactory perception research with EEG analysis: a dynamic approach of understanding brain responses to almond deterioration","2025","Food Chemistry","497","","147037","","","0","0","10.1016/j.foodchem.2025.147037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021235839&doi=10.1016%2Fj.foodchem.2025.147037&partnerID=40&md5=a22ba24417ec86f01044a5e7c64adea2","Article","Final","","Scopus","2-s2.0-105021235839"
"Han, R.; Zhang, Z.; Gong, C.; Feng, J.; Qi, Z.; Liu, H.; He, Z.; Gao, J.; Wen, D.; Xu, Z.","Han, Runyi (57804599600); Zhang, Zhenxi (58190107000); Gong, Chenbo (57208772665); Feng, Jingrui (57803295000); Qi, Zichen (57193891071); Liu, He (60076999200); He, Zixu (59455747800); Gao, Jing (57203723372); Wen, Dong (26322164100); Xu, Zhaopeng (60076865700)","57804599600; 58190107000; 57208772665; 57803295000; 57193891071; 60076999200; 59455747800; 57203723372; 26322164100; 60076865700","Mechanically robust, highly conductive, and adhesive zwitterionic enhanced gelatin organic hydrogel with thermally reversible phase transition suitable for EEG electrodes","2025","Colloids and Surfaces A: Physicochemical and Engineering Aspects","727","","138207","","","0","0","10.1016/j.colsurfa.2025.138207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014504152&doi=10.1016%2Fj.colsurfa.2025.138207&partnerID=40&md5=191bd2dc1321392fde68be33ac858b3e","Article","Final","","Scopus","2-s2.0-105014504152"
"Rakocevic, L.I.; Alcalá, R.I.; Goosens, K.A.; Friedman, A.","Rakocevic, Lara I. (57219944553); Alcalá, Raquel Ibáñez (60094794500); Goosens, K. A. (6602907188); Friedman, Alexander Calvo (58750711100)","57219944553; 60094794500; 6602907188; 58750711100","Protocol for measuring context-dependent cost-benefit decision-making in humans using a web application","2025","STAR Protocols","6","4","104077","","","0","0","10.1016/j.xpro.2025.104077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015361236&doi=10.1016%2Fj.xpro.2025.104077&partnerID=40&md5=d03bf463cdb63e99763043837303197c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105015361236"
"Liu, Y.; Jia, Q.; Miao, J.; Jiang, L.; Shan, J.; Wang, Y.; Lv, S.; Li, Q.; Liu, Y.; Jiao, P.; Song, Y.; Luo, J.; Cai, X.","Liu, Yu (59752772600); Jia, Qianli (57564138400); Miao, Jian (60105782200); Jiang, Longhui (58538683900); Shan, Jin (57811623400); Wang, Yu (60105670900); Lv, Shiya (58209580200); Li, Qi (59935646200); Liu, Yaoyao (57556387300); Jiao, Peiyao (58884407200); Song, Yilin (7404919483); Luo, Jinping (26867890300); Cai, Xinxia (8514473600)","59752772600; 57564138400; 60105782200; 58538683900; 57811623400; 60105670900; 58209580200; 59935646200; 57556387300; 58884407200; 7404919483; 26867890300; 8514473600","Ultra-biocompatible PEDOT:DSS-modified dual-mode bi-directional microelectrode arrays reveal phase-locking dynamics across sleep-wake","2025","Biosensors and Bioelectronics","290","","117973","","","0","0","10.1016/j.bios.2025.117973","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016455264&doi=10.1016%2Fj.bios.2025.117973&partnerID=40&md5=c676e0ec3cc9324e4e6cabfd6c340238","Article","Final","","Scopus","2-s2.0-105016455264"
"Cross, Z.R.; Santamaria, A.; Coussens, S.W.; Kohler, M.J.","Cross, Zachariah R. (57201154406); Santamaria, Amanda (57219530406); Coussens, Scott W. (9639963400); Kohler, Mark J. (15069587300)","57201154406; 57219530406; 9639963400; 15069587300","Effects of aperiodic neural activity on sleep-based emotional memory consolidation across the lifespan","2025","Neuropsychologia","219","","109270","","","0","0","10.1016/j.neuropsychologia.2025.109270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015141768&doi=10.1016%2Fj.neuropsychologia.2025.109270&partnerID=40&md5=35b124b53c62b56cc91ce4fa0d48899b","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105015141768"
"Guan, S.; Wei, H.; Meng, C.; Biswal, B.","Guan, Sihai (57020847100); Wei, Honglang (60007976700); Meng, Chun (55049325000); Biswal, Bharat B. (7005313518)","57020847100; 60007976700; 55049325000; 7005313518","Multifractal-dynamic reliability of white matter in rs-fMRI and relationships to gray matter","2025","Journal of Affective Disorders","391","","119932","","","0","0","10.1016/j.jad.2025.119932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011282042&doi=10.1016%2Fj.jad.2025.119932&partnerID=40&md5=920a5010c488708c623f30e06ee60f1a","Article","Final","","Scopus","2-s2.0-105011282042"
"Ameur, S.; Mahjoub, M.A.; Ben Khalifa, A.","Ameur, Safa (57194658138); Mahjoub, Mohamed Ali (14034185700); Ben Khalifa, Anouar (27567527300)","57194658138; 14034185700; 27567527300","Spatial-temporal generative network based on deep long short-term memory autoencoder for hand skeleton data sequences reconstruction and recognition","2025","Engineering Applications of Artificial Intelligence","161","","112289","","","0","0","10.1016/j.engappai.2025.112289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016089065&doi=10.1016%2Fj.engappai.2025.112289&partnerID=40&md5=9020366a49dd6b6893a822c775dc49e0","Article","Final","","Scopus","2-s2.0-105016089065"
"Kakade, M.N.","Kakade, Mandar Nitin (57210419289)","57210419289","RosMS-ECDBTM: Efficient channel attention enabled distributed deep learning model for mental state detection using EEG signal","2025","Neurocomputing","657","","131559","","","0","0","10.1016/j.neucom.2025.131559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016891213&doi=10.1016%2Fj.neucom.2025.131559&partnerID=40&md5=c897bf249852567aa6a9fcaa393ee212","Article","Final","","Scopus","2-s2.0-105016891213"
"Cao, J.; Li, B.; Li, X.","Cao, Jiayi (59682469000); Li, Bin (57558951300); Li, Xiao'ou (55926475000)","59682469000; 57558951300; 55926475000","Identification of Alzheimer’s disease brain networks based on EEG phase synchronization","2025","BioMedical Engineering Online","24","1","32","","","0","3","10.1186/s12938-025-01361-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000773718&doi=10.1186%2Fs12938-025-01361-0&partnerID=40&md5=805d8a82e8cbcc45fe3b3e2d2e5b7c20","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-86000773718"
"Kim, J.-H.; Choi, D.-E.; Shin, H.-S.","Kim, Jong-hyun (56813315200); Choi, Da-eun (59681794000); Shin, Hee-sup (57199794682)","56813315200; 59681794000; 57199794682","The lateralized LC-NAergic system distinguishes vicarious versus direct fear in mice","2025","Nature Communications","16","1","2364","","","0","0","10.1038/s41467-025-57701-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000741647&doi=10.1038%2Fs41467-025-57701-0&partnerID=40&md5=520ce88097c9e2b799ba3c3767582228","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-86000741647"
"Sathyanarayana, A.; Manjunath, S.; Perea, J.A.","Sathyanarayana, Aarti (56717532900); Manjunath, Shashank (58299436900); Perea, Jose A. (55948590400)","56717532900; 58299436900; 55948590400","Topological Data Analysis Based Characteristics of Electroencephalogram Signals in Children With Sleep Apnea","2025","Journal of Sleep Research","34","6","e70017","","","0","2","10.1111/jsr.70017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000667339&doi=10.1111%2Fjsr.70017&partnerID=40&md5=966f2902be9d0d4da6975c9afe08ff34","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-86000667339"
